event,time,magnitude,band,source
SN1987A,46860.1,4.38,V,"1987IAUC.4352....1S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46860.76,4.36,V,"1987MNRAS.227P..39M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46861.1,4.35,V,"1987IAUC.4352....1S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46861.77,4.32,V,"1987MNRAS.227P..39M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46862.1,4.33,V,"1987IAUC.4352....1S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46862.9,4.3,V,"1987MNRAS.227P..39M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46863.1,4.28,V,"1987SSRvA......500C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46863.1,4.3,V,"1987IAUC.4352....1S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46863.75,4.28,V,"1987MNRAS.227P..39M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46864.1,4.28,V,"1987IAUC.4352....1S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46864.75,4.27,V,"1987MNRAS.227P..39M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46865.0,4.25,V,"1987SSRvA......500C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46865.1,4.26,V,"1987IAUC.4352....1S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46865.75,4.25,V,"1987MNRAS.227P..39M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46866.1,4.23,V,"1987IAUC.4352....1S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46866.75,4.23,V,"1987MNRAS.227P..39M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46866.91,4.23,V,"1987MNRAS.227P..39M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46867.75,4.22,V,"1987MNRAS.227P..39M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46868.1,4.18,V,"1987IAUC.4352....1S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46869.1,4.2,V,"1987IAUC.4352....1S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46870.1,4.18,V,"1987IAUC.4352....1S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46870.1,4.19,V,"1987SSRvA......500C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46870.77,4.18,V,"1987MNRAS.227P..39M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46871.75,4.16,V,"1987MNRAS.227P..39M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46872.75,4.13,V,"1987MNRAS.227P..39M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46873.1,4.12,V,"1987IAUC.4352....1S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46873.1,4.13,V,"1987SSRvA......500C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46873.75,4.1,V,"1987MNRAS.227P..39M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46873.88,4.11,V,"1987MNRAS.227P..39M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46874.1,4.1,V,"1987IAUC.4352....1S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46874.1,4.12,V,"1987SSRvA......500C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46874.75,4.09,V,"1987MNRAS.227P..39M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46875.1,4.08,V,"1987IAUC.4352....1S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46875.1,4.09,V,"1987SSRvA......500C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46875.75,4.07,V,"1987MNRAS.227P..39M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46876.1,4.07,V,"1987IAUC.4352....1S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46876.1,4.08,V,"1987SSRvA......500C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46876.74,4.06,V,"1987MNRAS.227P..39M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46877.75,4.04,V,"1987MNRAS.227P..39M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46878.76,4.01,V,"1987MNRAS.227P..39M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46879.75,3.99,V,"1987MNRAS.227P..39M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46880.75,3.97,V,"1987MNRAS.227P..39M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46881.74,3.94,V,"1987MNRAS.227P..39M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46883.81,3.88,V,"1987MNRAS.227P..39M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46884.75,3.86,V,"1987MNRAS.227P..39M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46885.83,3.82,V,"1987MNRAS.227P..39M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46885.84,3.81,V,"1987MNRAS.227P..39M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46886.75,3.79,V,"1987MNRAS.227P..39M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46887.74,3.76,V,"1987MNRAS.227P..39M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46889.81,3.71,V,"1987MNRAS.227P..39M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46890.89,3.66,V,"1987MNRAS.227P..39M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46891.75,3.63,V,"1987MNRAS.227P..39M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46892.84,3.59,V,"1987MNRAS.227P..39M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46893.75,3.58,V,"1987MNRAS.227P..39M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46894.75,3.54,V,"1987MNRAS.227P..39M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46896.75,3.49,V,"1987MNRAS.227P..39M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46897.75,3.47,V,"1987MNRAS.227P..39M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46898.74,3.43,V,"1987MNRAS.227P..39M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46900.74,3.34,V,"1987MNRAS.229P..15C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46900.74,3.3430,V,"1987MNRAS.229P..15C,SUSPECT"
SN1987A,46901.4,3.24,V,"1987IAUC.4395....1B,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46901.73,3.33,V,"1987MNRAS.229P..15C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46901.73,3.3350,V,"1987MNRAS.229P..15C,SUSPECT"
SN1987A,46902.74,3.32,V,"1987MNRAS.229P..15C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46902.74,3.3240,V,"1987MNRAS.229P..15C,SUSPECT"
SN1987A,46903.44,3.19,V,"1987IAUC.4395....1B,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46903.84,3.28,V,"1987MNRAS.229P..15C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46903.84,3.2850,V,"1987MNRAS.229P..15C,SUSPECT"
SN1987A,46904.0,3.3,V,"1987IAUC.4352....1S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46905.46,3.15,V,"1987IAUC.4395....1B,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46905.79,3.25,V,"1987MNRAS.229P..15C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46905.79,3.2520,V,"1987MNRAS.229P..15C,SUSPECT"
SN1987A,46906.46,3.15,V,"1987IAUC.4395....1B,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46906.74,3.2290,V,"1987MNRAS.229P..15C,SUSPECT"
SN1987A,46906.74,3.23,V,"1987MNRAS.229P..15C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46908.73,3.1780,V,"1987MNRAS.229P..15C,SUSPECT"
SN1987A,46908.73,3.18,V,"1987MNRAS.229P..15C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46909.73,3.1580,V,"1987MNRAS.229P..15C,SUSPECT"
SN1987A,46909.73,3.16,V,"1987MNRAS.229P..15C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46910.47,3.12,V,"1987IAUC.4395....1B,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46910.74,3.1400,V,"1987MNRAS.229P..15C,SUSPECT"
SN1987A,46910.74,3.14,V,"1987MNRAS.229P..15C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46911.73,3.1290,V,"1987MNRAS.229P..15C,SUSPECT"
SN1987A,46911.73,3.13,V,"1987MNRAS.229P..15C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46913.73,3.1100,V,"1987MNRAS.229P..15C,SUSPECT"
SN1987A,46913.73,3.11,V,"1987MNRAS.229P..15C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46915.74,3.0300,V,"1987MNRAS.229P..15C,SUSPECT"
SN1987A,46915.74,3.03,V,"1987MNRAS.229P..15C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46916.72,3.0400,V,"1987MNRAS.229P..15C,SUSPECT"
SN1987A,46916.72,3.04,V,"1987MNRAS.229P..15C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46917.73,3.0400,V,"1987MNRAS.229P..15C,SUSPECT"
SN1987A,46917.73,3.04,V,"1987MNRAS.229P..15C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46918.72,3.0300,V,"1987MNRAS.229P..15C,SUSPECT"
SN1987A,46918.72,3.03,V,"1987MNRAS.229P..15C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46922.72,3,V,"1987MNRAS.229P..15C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46922.73,2.9980,V,"1987MNRAS.229P..15C,SUSPECT"
SN1987A,46923.75,2.9600,V,"1987MNRAS.229P..15C,SUSPECT"
SN1987A,46923.75,2.96,V,"1987MNRAS.229P..15C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46924.76,2.9500,V,"1987MNRAS.229P..15C,SUSPECT"
SN1987A,46924.76,2.95,V,"1987MNRAS.229P..15C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46929.79,2.9600,V,"1987MNRAS.229P..15C,SUSPECT"
SN1987A,46929.8,2.96,V,"1987MNRAS.229P..15C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46931.72,2.96,V,"1987MNRAS.229P..15C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46931.72,2.9630,V,"1987MNRAS.229P..15C,SUSPECT"
SN1987A,46933.71,2.96,V,"1987MNRAS.229P..15C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46933.71,2.9650,V,"1987MNRAS.229P..15C,SUSPECT"
SN1987A,46934.72,2.96,V,"1987MNRAS.229P..15C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46934.73,2.9640,V,"1987MNRAS.229P..15C,SUSPECT"
SN1987A,46935.71,2.97,V,"1987MNRAS.229P..15C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46935.71,2.9740,V,"1987MNRAS.229P..15C,SUSPECT"
SN1987A,46940.71,2.9800,V,"1987MNRAS.229P..15C,SUSPECT"
SN1987A,46940.71,2.98,V,"1987MNRAS.229P..15C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46941.72,2.9620,V,"1987MNRAS.229P..15C,SUSPECT"
SN1987A,46941.72,2.98,V,"1987MNRAS.229P..15C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46942.7,3.02,V,"1987MNRAS.229P..15C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46942.70,3.0240,V,"1987MNRAS.229P..15C,SUSPECT"
SN1987A,46946.71,3.11,V,"1987MNRAS.229P..15C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46946.71,3.1130,V,"1987MNRAS.229P..15C,SUSPECT"
SN1987A,46948.71,3.1460,V,"1987MNRAS.229P..15C,SUSPECT"
SN1987A,46948.71,3.15,V,"1987MNRAS.229P..15C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46951.69,3.2680,V,"1987MNRAS.229P..15C,SUSPECT"
SN1987A,46951.7,3.27,V,"1987MNRAS.229P..15C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46953.69,3.34,V,"1987MNRAS.229P..15C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46953.69,3.3450,V,"1987MNRAS.229P..15C,SUSPECT"
SN1987A,46954.70,3.3970,V,"1987MNRAS.229P..15C,SUSPECT"
SN1987A,46954.7,3.4,V,"1987MNRAS.229P..15C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46958.7,3.59,V,"1987MNRAS.229P..15C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46958.70,3.5930,V,"1987MNRAS.229P..15C,SUSPECT"
SN1987A,46960.70,3.7470,V,"1987MNRAS.229P..15C,SUSPECT"
SN1987A,46960.7,3.75,V,"1987MNRAS.229P..15C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46961.69,3.7770,V,"1987MNRAS.229P..15C,SUSPECT"
SN1987A,46961.69,3.78,V,"1987MNRAS.229P..15C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46964.71,3.9690,V,"1987MNRAS.229P..15C,SUSPECT"
SN1987A,46964.71,3.97,V,"1987MNRAS.229P..15C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46965.17,4.0080,V,"1987MNRAS.229P..15C,SUSPECT"
SN1987A,46965.17,4.01,V,"1987MNRAS.229P..15C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46965.7,4.04,V,"1987MNRAS.229P..15C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46965.70,4.0420,V,"1987MNRAS.229P..15C,SUSPECT"
SN1987A,46966.17,4.0470,V,"1987MNRAS.229P..15C,SUSPECT"
SN1987A,46966.17,4.05,V,"1987MNRAS.229P..15C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46966.7,4.08,V,"1987MNRAS.229P..15C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46966.70,4.0830,V,"1987MNRAS.229P..15C,SUSPECT"
SN1987A,46967.17,4.1080,V,"1987MNRAS.229P..15C,SUSPECT"
SN1987A,46967.17,4.11,V,"1987MNRAS.229P..15C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46967.69,4.1370,V,"1987MNRAS.229P..15C,SUSPECT"
SN1987A,46967.69,4.14,V,"1987MNRAS.229P..15C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46970.18,4.21,V,"1987MNRAS.229P..15C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46970.18,4.2140,V,"1987MNRAS.229P..15C,SUSPECT"
SN1987A,46971.71,4.26,V,"1987MNRAS.229P..15C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46971.72,4.2600,V,"1987MNRAS.229P..15C,SUSPECT"
SN1987A,46975.18,4.31,V,"1987MNRAS.229P..15C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46975.18,4.3140,V,"1987MNRAS.229P..15C,SUSPECT"
SN1987A,46977.7,4.35,V,"1987MNRAS.229P..15C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46977.70,4.3550,V,"1987MNRAS.229P..15C,SUSPECT"
SN1987A,46979.71,4.3600,V,"1987MNRAS.229P..15C,SUSPECT"
SN1987A,46979.71,4.36,V,"1987MNRAS.229P..15C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46980.18,4.3860,V,"1987MNRAS.229P..15C,SUSPECT"
SN1987A,46980.18,4.39,V,"1987MNRAS.229P..15C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46980.70,4.3960,V,"1987MNRAS.229P..15C,SUSPECT"
SN1987A,46980.7,4.4,V,"1987MNRAS.229P..15C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46981.18,4.3980,V,"1987MNRAS.229P..15C,SUSPECT"
SN1987A,46981.71,4.3990,V,"1987MNRAS.229P..15C,SUSPECT"
SN1987A,46981.71,4.4,V,"1987MNRAS.229P..15C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46982.7,4.4,V,"1987MNRAS.229P..15C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46982.70,4.4030,V,"1987MNRAS.229P..15C,SUSPECT"
SN1987A,46983.18,4.4300,V,"1987MNRAS.229P..15C,SUSPECT"
SN1987A,46983.18,4.43,V,"1987MNRAS.229P..15C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46984.17,4.42,V,"1988MNRAS.231P..75C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46985.18,4.44,V,"1988MNRAS.231P..75C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46986.19,4.45,V,"1988MNRAS.231P..75C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46989.16,4.47,V,"1988MNRAS.231P..75C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46990.1,4.48,V,"1988MNRAS.231P..75C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46991.18,4.51,V,"1988MNRAS.231P..75C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46997.18,4.56,V,"1988MNRAS.231P..75C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46998.17,4.58,V,"1988MNRAS.231P..75C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,46999.17,4.59,V,"1988MNRAS.231P..75C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,47000.16,4.6,V,"1988MNRAS.231P..75C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,47005.15,4.64,V,"1988MNRAS.231P..75C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,47006.14,4.66,V,"1988MNRAS.231P..75C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,47007.14,4.67,V,"1988MNRAS.231P..75C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,47009.14,4.7,V,"1988MNRAS.231P..75C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,47013.16,4.73,V,"1988MNRAS.231P..75C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,47014.17,4.73,V,"1988MNRAS.231P..75C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,47020.03,4.8,V,"1988MNRAS.231P..75C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,47021.07,4.8,V,"1988MNRAS.231P..75C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,47021.17,4.8,V,"1988MNRAS.231P..75C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,47022.05,4.82,V,"1988MNRAS.231P..75C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,47023.16,4.82,V,"1988MNRAS.231P..75C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,47025.07,4.84,V,"1988MNRAS.231P..75C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,47025.16,4.85,V,"1988MNRAS.231P..75C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,47027.16,4.86,V,"1988MNRAS.231P..75C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,47028.16,4.87,V,"1988MNRAS.231P..75C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,47031.12,4.9,V,"1988MNRAS.231P..75C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1987A,47031.13,4.9,V,"1988MNRAS.231P..75C,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
